採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/6/3 下午 02:26:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/5/4 下午 02:35:00,1292,1.0,25.0,19.6,8.4,170,9.9,9.8,107.1,<1.0,4.9,<1.0,190,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/4/6 下午 02:39:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/3/2 下午 02:21:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/2/5 下午 02:35:00,1292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,吉祥橋,－,2009/1/7 下午 03:35:00,1292,1.0,18.4,18.1,7.8,127,9.4,9.5,100.8,<1.0,<4.0,3.2,850,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/12/1 下午 02:23:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/11/2 下午 03:15:00,1293,1.0,24.1,21.6,7.4,161,8.7,8.6,95.2,<1.0,<4.0,9.9,2300,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/10/16 下午 03:15:00,1293,1.0,24.9,22.9,7.4,146,8.3,8.4,98.6,<1.0,<4.0,8.1,1500,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福德溪流域,福德溪,宜蘭縣,福德坑橋,－,2009/9/8 下午 02:22:00,1293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
